GlobalEventID	Day	MonthYear	Year	FractionDate	Actor1Code	Actor1Name	Actor1CountryCode	Actor1KnownGroupCode	Actor1EthnicCode	Actor1Religion1Code	Actor1Religion2Code	Actor1Type1Code	Actor1Type2Code	Actor1Type3Code	Actor2Code	Actor2Name	Actor2CountryCode	Actor2KnownGroupCode	Actor2EthnicCode	Actor2Religion1Code	Actor2Religion2Code	Actor2Type1Code	Actor2Type2Code	Actor2Type3Code	IsRootEvent	EventCode	EventBaseCode	EventRootCode	QuadClass	GoldsteinScale	NumMentions	NumSources	NumArticles	AvgTone	Actor1Geo_Type	Actor1Geo_Fullname	Actor1Geo_CountryCode	Actor1Geo_ADM1Code	Actor1Geo_ADM2Code	Actor1Geo_Lat	Actor1Geo_Long	Actor1Geo_FeatureID	Actor2Geo_Type	Actor2Geo_Fullname	Actor2Geo_CountryCode	Actor2Geo_ADM1Code	Actor2Geo_ADM2Code	Actor2Geo_Lat	Actor2Geo_Long	Actor2Geo_FeatureID	ActionGeo_Type	ActionGeo_Fullname	ActionGeo_CountryCode	ActionGeo_ADM1Code	ActionGeo_ADM2Code	ActionGeo_Lat	ActionGeo_Long	ActionGeo_FeatureID	Dateadded	Sourceurl
904208460	20200206	202002	2020	2020.0986											NGOENV	GREENPEACE						NGO	ENV		0	040	040	04	1	1.0	10	1	10	-1.02905569007264	0								3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20200206143000	https://www.newsweek.com/jane-fonda-brings-her-climate-change-protest-fire-drill-fridays-that-red-coat-los-angeles-1485919
904208461	20200206	202002	2020	2020.0986											NLD	DUTCH	NLD								1	040	040	04	1	1.0	3	1	3	5.23255813953488	0								4	Vianen, Zeeland, Netherlands	NL	NL10	22376	51.6179	4.00906	-2154713	4	Vianen, Zeeland, Netherlands	NL	NL10	22376	51.6179	4.00906	-2154713	20200206143000	https://www.financialbuzz.com/ingram-micro-further-enhances-european-it-services-capabilities-with-acquisition-of-ictivity/
904208462	20200206	202002	2020	2020.0986											NOR	BERGEN	NOR								0	042	042	04	1	1.9	3	1	3	-0.49115913555992	0								1	Jersey	JE	JE		49.216667	-2.116667	JE	1	Jersey	JE	JE		49.216667	-2.116667	JE	20200206143000	https://www.app.com/story/news/investigations/2020/02/06/police-reforms-advance-three-parts-nj-government-targeting-problems-app-exposed/4668672002/
904208463	20200206	202002	2020	2020.0986											OPP	THE OPPOSITION						OPP			0	111	111	11	3	-2.0	1	1	1	-3.70370370370371	0								4	Jagran, Azad Kashmir, Pakistan	PK	PK06	72786	34.6472	73.7694	6136135	4	Jagran, Azad Kashmir, Pakistan	PK	PK06	72786	34.6472	73.7694	6136135	20200206143000	https://english.jagran.com/india/you-started-npr-why-fooling-people-now-pm-modi-accuses-oppn-of-spreading-misinformation-about-population-register-10008655
904208464	20200206	202002	2020	2020.0986											PAN	PANAMA	PAN								1	043	043	04	1	2.8	4	1	4	3.95869191049914	0								4	Panama Canal, Panama (general), Panama	PM	PM00	93681	9.33333	-79.9167	-168010	4	Panama Canal, Panama (general), Panama	PM	PM00	93681	9.33333	-79.9167	-168010	20200206143000	https://www.newsweek.com/married-first-sight-season-10-episode-6-1485697
904208465	20200206	202002	2020	2020.0986											POL	WARSAW	POL								1	036	036	03	1	4.0	9	1	9	0.314465408805036	0								4	Nadarzyn, Zachodniopomorskie, Poland	PL	PL87	24651	53.1176	15.3246	-517741	4	Nadarzyn, Zachodniopomorskie, Poland	PL	PL87	24651	53.1176	15.3246	-517741	20200206143000	https://www.logisticsmiddleeast.com/35078-omnipack-launches-new-logistics-centres
904208466	20200206	202002	2020	2020.0986											REB	REBELLION						REB			1	043	043	04	1	2.8	90	1	10	-2.93333333333334	0								0								0								20200206143000	https://www.thewestonmercury.co.uk/news/xr-hand-card-to-north-somerset-council-opposing-bristol-airport-expansion-1-6501601
904208467	20200206	202002	2020	2020.0986											REB	REBEL						REB			1	190	190	19	4	-10.0	10	1	10	-3.86740331491713	0								3	Boone County, Arkansas, United States	US	USAR		36.3001	-93.1546	69897	3	Boone County, Arkansas, United States	US	USAR		36.3001	-93.1546	69897	20200206143000	https://harrisondaily.com/news/museum-musings-harrison-the-man-behind-the-name/article_4fd350ce-4839-11ea-a3d2-c727d18082d0.html
904208468	20200206	202002	2020	2020.0986											REF	REFUGEE						REF			0	042	042	04	1	1.9	4	1	4	-5.24886877828054	0								4	Phnom Penh, (CB11), Cambodia	CB	CB11	12390	11.55	104.917	-1033783	4	Phnom Penh, (CB11), Cambodia	CB	CB11	12390	11.55	104.917	-1033783	20200206143000	https://www.kqed.org/news/11800255/mistakenly-targeted-for-deportation-u-s-citizen-reunites-with-family-five-years-later
904208469	20200206	202002	2020	2020.0986											REF	REFUGEE						REF			0	042	042	04	1	1.9	6	1	6	-5.24886877828054	0								1	Thailand	TH	TH		15	100	TH	1	Thailand	TH	TH		15	100	TH	20200206143000	https://www.kqed.org/news/11800255/mistakenly-targeted-for-deportation-u-s-citizen-reunites-with-family-five-years-later
904208470	20200206	202002	2020	2020.0986											RUS	RUSSIA	RUS								1	042	042	04	1	1.9	1	1	1	-8.66141732283464	0								1	Kyrgyzstan	KG	KG		41	75	KG	1	Kyrgyzstan	KG	KG		41	75	KG	20200206143000	http://www.rapsinews.com/judicial_news/20200206/305430048.html
