GlobalEventID	Day	MonthYear	Year	FractionDate	Actor1Code	Actor1Name	Actor1CountryCode	Actor1KnownGroupCode	Actor1EthnicCode	Actor1Religion1Code	Actor1Religion2Code	Actor1Type1Code	Actor1Type2Code	Actor1Type3Code	Actor2Code	Actor2Name	Actor2CountryCode	Actor2KnownGroupCode	Actor2EthnicCode	Actor2Religion1Code	Actor2Religion2Code	Actor2Type1Code	Actor2Type2Code	Actor2Type3Code	IsRootEvent	EventCode	EventBaseCode	EventRootCode	QuadClass	GoldsteinScale	NumMentions	NumSources	NumArticles	AvgTone	Actor1Geo_Type	Actor1Geo_Fullname	Actor1Geo_CountryCode	Actor1Geo_ADM1Code	Actor1Geo_ADM2Code	Actor1Geo_Lat	Actor1Geo_Long	Actor1Geo_FeatureID	Actor2Geo_Type	Actor2Geo_Fullname	Actor2Geo_CountryCode	Actor2Geo_ADM1Code	Actor2Geo_ADM2Code	Actor2Geo_Lat	Actor2Geo_Long	Actor2Geo_FeatureID	ActionGeo_Type	ActionGeo_Fullname	ActionGeo_CountryCode	ActionGeo_ADM1Code	ActionGeo_ADM2Code	ActionGeo_Lat	ActionGeo_Long	ActionGeo_FeatureID	Dateadded	Sourceurl
903847964	20200205	202002	2020	2020.0959	EDU	STUDENT						EDU													1	010	010	01	1	0.0	3	1	3	-1.01237345331833	2	Arizona, United States	US	USAZ		33.7712	-111.388	AZ	0								2	Arizona, United States	US	USAZ		33.7712	-111.388	AZ	20200205053000	https://www.thecollegefix.com/new-arizona-bill-seeks-to-mandate-ideological-diversity-on-campus/
903847965	20200205	202002	2020	2020.0959	EDU	SCHOOL						EDU													1	011	011	01	1	-0.1	5	1	5	-2.56410256410256	3	Pomona, California, United States	US	USCA	CA037	34.0553	-117.752	1661247	0								3	Pomona, California, United States	US	USCA	CA037	34.0553	-117.752	1661247	20200205053000	https://www.thecollegefix.com/campus-queer-resource-center-scrubs-blacks-only-mixer-after-college-fix-queries/
903847966	20200205	202002	2020	2020.0959	EDU	SCHOOL						EDU													1	011	011	01	1	-0.1	5	1	5	-2.56410256410256	3	Pomona College, California, United States	US	USCA	CA037	34.0972	-117.712	247677	0								3	Pomona College, California, United States	US	USCA		34.0972	-117.712	247677	20200205053000	https://www.thecollegefix.com/campus-queer-resource-center-scrubs-blacks-only-mixer-after-college-fix-queries/
903847967	20200205	202002	2020	2020.0959	EDU	COLLEGE						EDU													0	013	013	01	1	0.4	10	1	10	-5.74712643678161	1	Ghana	GH	GH		8	-2	GH	0								1	Ghana	GH	GH		8	-2	GH	20200205053000	https://www.echonews.com.au/news/scandal-plagued-private-schools-latest-drama1/3937221/
903847968	20200205	202002	2020	2020.0959	EDU	SCHOOL						EDU													1	020	020	02	1	3.0	10	1	10	2.94784580498866	3	Moreau Hall, Massachusetts, United States	US	USMA	MA005	42.0645	-71.0867	1976901	0								3	Moreau Hall, Massachusetts, United States	US	USMA		42.0645	-71.0867	1976901	20200205053000	https://www.enterprisenews.com/news/20200205/what-would-you-name-eastons-new-elementary-school
903847969	20200205	202002	2020	2020.0959	EDU	SCHOOL						EDU													0	020	020	02	1	3.0	10	1	10	-0.31545741324921	1	United States	US	US		39.828175	-98.5795	US	0								1	United States	US	US		39.828175	-98.5795	US	20200205053000	https://www.dailytargum.com/article/2020/02/cahill-announces-potential-plans-to-build-new-public-school-in-new-brunswick
903847970	20200205	202002	2020	2020.0959	EDU	SCHOOL						EDU													1	023	023	02	1	3.4	10	1	10	2.94784580498866	3	Moreau Hall, Massachusetts, United States	US	USMA	MA005	42.0645	-71.0867	1976901	0								3	Moreau Hall, Massachusetts, United States	US	USMA		42.0645	-71.0867	1976901	20200205053000	https://www.enterprisenews.com/news/20200205/what-would-you-name-eastons-new-elementary-school
903847971	20200205	202002	2020	2020.0959	EDU	SCHOOL						EDU													0	026	026	02	1	4.0	6	1	6	2.94784580498866	2	Massachusetts, United States	US	USMA		42.2373	-71.5314	MA	0								2	Massachusetts, United States	US	USMA		42.2373	-71.5314	MA	20200205053000	https://www.enterprisenews.com/news/20200205/what-would-you-name-eastons-new-elementary-school
903847972	20200205	202002	2020	2020.0959	EDU	SCHOOL						EDU													0	030	030	03	1	4.0	10	1	10	-0.2835538752363	4	Karachi, Sindh, Pakistan	PK	PK05	40398	24.8667	67.05	-2764584	0								4	Karachi, Sindh, Pakistan	PK	PK05	40398	24.8667	67.05	-2764584	20200205053000	https://tribune.com.pk/story/2150430/1-sindh-govt-increase-wheat-support-price/
903847973	20200205	202002	2020	2020.0959	EDU	SCHOOL						EDU													1	036	036	03	1	4.0	10	1	10	5.58139534883721	2	Connecticut, United States	US	USCT		41.5834	-72.7622	CT	0								2	Connecticut, United States	US	USCT		41.5834	-72.7622	CT	20200205053000	https://www.newmilfordspectrum.com/news/article/NMHS-Winter-Guard-percussion-to-perform-15030595.php
903847974	20200205	202002	2020	2020.0959	EDU	STUDENT						EDU													1	036	036	03	1	4.0	5	1	5	-0.62111801242236	1	India	IN	IN		20	77	IN	0								1	India	IN	IN		20	77	IN	20200205053000	https://www.newindianexpress.com/nation/2020/feb/05/little-outdated-general-naravane-on-cag-report-that-criticised-poor-clothing-of-troops-2099281.html
