GlobalEventID	Day	MonthYear	Year	FractionDate	Actor1Code	Actor1Name	Actor1CountryCode	Actor1KnownGroupCode	Actor1EthnicCode	Actor1Religion1Code	Actor1Religion2Code	Actor1Type1Code	Actor1Type2Code	Actor1Type3Code	Actor2Code	Actor2Name	Actor2CountryCode	Actor2KnownGroupCode	Actor2EthnicCode	Actor2Religion1Code	Actor2Religion2Code	Actor2Type1Code	Actor2Type2Code	Actor2Type3Code	IsRootEvent	EventCode	EventBaseCode	EventRootCode	QuadClass	GoldsteinScale	NumMentions	NumSources	NumArticles	AvgTone	Actor1Geo_Type	Actor1Geo_Fullname	Actor1Geo_CountryCode	Actor1Geo_ADM1Code	Actor1Geo_ADM2Code	Actor1Geo_Lat	Actor1Geo_Long	Actor1Geo_FeatureID	Actor2Geo_Type	Actor2Geo_Fullname	Actor2Geo_CountryCode	Actor2Geo_ADM1Code	Actor2Geo_ADM2Code	Actor2Geo_Lat	Actor2Geo_Long	Actor2Geo_FeatureID	ActionGeo_Type	ActionGeo_Fullname	ActionGeo_CountryCode	ActionGeo_ADM1Code	ActionGeo_ADM2Code	ActionGeo_Lat	ActionGeo_Long	ActionGeo_FeatureID	Dateadded	Sourceurl
903945430	20200205	202002	2020	2020.0959	GBRGOV	BRITISH	GBR					GOV													0	015	015	01	1	0.0	3	1	3	-9.90873533246419	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	0								4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20200205143000	https://www.investigativeproject.org/8289/uk-scrambles-for-sentencing-reforms-after-another
903945431	20200205	202002	2020	2020.0959	GBRGOV	WELSH	GBR					GOV													1	042	042	04	1	1.9	10	1	10	-5.07131537242473	5	Carmarthenshire, Carmarthenshire, United Kingdom	UK	UKX7	40180	51.8333	-4.16667	-2591847	0								5	Carmarthenshire, Carmarthenshire, United Kingdom	UK	UKX7	40180	51.8333	-4.16667	-2591847	20200205143000	https://www.fwi.co.uk/news/crime/farmer-who-stole-cow-caught-by-dna-test
903945432	20200205	202002	2020	2020.0959	GBRGOV	BRITISH	GBR					GOV			GOV	GOVERNMENT						GOV			1	010	010	01	1	0.0	6	1	6	0.16155088852989	4	Brussels, Bruxelles-Capitale, Belgium	BE	BE11	5850	50.8333	4.33333	-1955538	4	Brussels, Bruxelles-Capitale, Belgium	BE	BE11	5850	50.8333	4.33333	-1955538	4	Brussels, Bruxelles-Capitale, Belgium	BE	BE11	5850	50.8333	4.33333	-1955538	20200205143000	http://nsjonline.com/article/2020/02/uk-and-eu-clash-over-trade-with-11-months-to-make-a-deal/
903945433	20200205	202002	2020	2020.0959	GBRGOV	BRITISH	GBR					GOV			IGOEUREEC	THE EUROPEAN UNION	EUR	EEC				IGO			1	050	050	05	1	3.5	6	1	6	0.16155088852989	4	Greenwich, Greenwich, United Kingdom	UK	UKE7	40133	51.4776	-0.010375	-2597684	4	Greenwich, Greenwich, United Kingdom	UK	UKE7	40133	51.4776	-0.010375	-2597684	4	Greenwich, Greenwich, United Kingdom	UK	UKE7	40133	51.4776	-0.010375	-2597684	20200205143000	http://nsjonline.com/article/2020/02/uk-and-eu-clash-over-trade-with-11-months-to-make-a-deal/
903945434	20200205	202002	2020	2020.0959	GBRGOV	DOWNING STREET	GBR					GOV			MED	NEWS ORGANISATION						MED			0	100	100	10	3	-5.0	2	1	2	-1.85292414591778	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20200205143000	https://www.dailymail.co.uk/news/article-7969783/Tracy-Brabins-TV-director-husband-says-women-wear-want-outcry-shoulder-dress.html
903945435	20200205	202002	2020	2020.0959	GBRGOV	DOWNING STREET	GBR					GOV			MED	JOURNALIST						MED			0	174	174	17	4	-5.0	2	1	2	-1.85292414591778	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20200205143000	https://www.dailymail.co.uk/news/article-7969783/Tracy-Brabins-TV-director-husband-says-women-wear-want-outcry-shoulder-dress.html
903945436	20200205	202002	2020	2020.0959	GBRGOV	BRITISH	GBR					GOV			OPP	PRISONER						OPP			0	015	015	01	1	0.0	3	1	3	-9.90873533246419	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20200205143000	https://www.investigativeproject.org/8289/uk-scrambles-for-sentencing-reforms-after-another
903945437	20200205	202002	2020	2020.0959	GBRGOVMIL	UNITED KINGDOM	GBR					GOV	MIL												1	031	031	03	1	5.2	5	1	5	-1	1	United Kingdom	UK	UK		54	-4	UK	0								1	United Kingdom	UK	UK		54	-4	UK	20200205143000	https://www.ship-technology.com/uncategorised/newsboskalis-westminster-to-dredge-portsmouth-harbour-in-uk-4612507/
903945438	20200205	202002	2020	2020.0959	GBRJUD	UNITED KINGDOM	GBR					JUD			ARE	UNITED ARAB EMIRATES	ARE								1	112	112	11	3	-2.0	1	1	1	-4.33996383363472	4	Hyde Park, United Kingdom (general), United Kingdom	UK	UK00	40163	54.6667	-6	-2599299	1	Denmark	DA	DA		56	10	DA	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	20200205143000	https://www.thenational.ae/uae/health/dubai-autism-centre-closes-amid-tax-fraud-probe-1.974480
903945439	20200205	202002	2020	2020.0959	GBRJUD	UNITED KINGDOM	GBR					JUD			ARE	UNITED ARAB EMIRATES	ARE								1	112	112	11	3	-2.0	1	1	1	-4.33996383363472	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	4	Hyde Park, United Kingdom (general), United Kingdom	UK	UK00	40163	54.6667	-6	-2599299	4	Dubai, Dubayy, United Arab Emirates	AE	AE03	28575	25.2522	55.28	-782831	20200205143000	https://www.thenational.ae/uae/health/dubai-autism-centre-closes-amid-tax-fraud-probe-1.974480
903945440	20200205	202002	2020	2020.0959	GBRJUD	UNITED KINGDOM	GBR					JUD			BGD	BANGLADESH	BGD								1	014	014	01	1	0.0	2	1	2	-4.39698492462312	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	1	Bangladesh	BG	BG		24	90	BG	1	Bangladesh	BG	BG		24	90	BG	20200205143000	https://www.watfordobserver.co.uk/news/18212901.man-jailed-stabbing-vicarage-road-watford/
903945441	20200205	202002	2020	2020.0959	GBRLAB	BRITISH	GBR					LAB													1	010	010	01	1	0.0	6	1	6	-3.07692307692308	4	West Midlands, United Kingdom (general), United Kingdom	UK	UK00	40136	52.5	-1.96667	-2611326	0								4	West Midlands, United Kingdom (general), United Kingdom	UK	UK00	40136	52.5	-1.96667	-2611326	20200205143000	https://www.socialistparty.org.uk/articles/30201/05-02-2020/post-brexit-era-of-crisis-ahead
903945442	20200205	202002	2020	2020.0959	GBRPTY	UNITED KINGDOM	GBR																		1	010	010	01	1	0.0	2	1	2	2.23048327137547	4	Romford, Havering, United Kingdom	UK	UKF6	40110	51.5833	0.2	-2606452	0								4	Romford, Havering, United Kingdom	UK	UKF6	40110	51.5833	0.2	-2606452	20200205143000	https://www.socialistparty.org.uk/articles/30214/05-02-2020/no-to-academisation-of-east-london-schools
903945443	20200205	202002	2020	2020.0959	GBRPTY	UNITED KINGDOM	GBR								GOV	PRESIDENT						GOV			0	042	042	04	1	1.9	1	1	1	-3.58565737051793	4	Ealing, Ealing, United Kingdom	UK	UKD9	40110	51.4888	-0.30479	-2595044	4	Ealing, Ealing, United Kingdom	UK	UKD9	40110	51.4888	-0.30479	-2595044	4	Ealing, Ealing, United Kingdom	UK	UKD9	40110	51.4888	-0.30479	-2595044	20200205143000	https://www.socialistparty.org.uk/articles/30210/05-02-2020/ealing-tax-office-workers-strike-against-closure
